	Rumpun Ilmu	Rumpun Ilmu (Bahasa Inggris)	Pohon Ilmu	Pohon Ilmu (Bahasa Inggris)	Cabang Ilmu	Cabang Ilmu (Bahasa Inggris)
1	RUMPUN ILMU ALAM	NATURAL SCIENCES	ASTRONOMI	ASTRONOMY	ILMU ATAU SAINS ATMOSFER DAN KEPLANETAN	ATMOSPHERIC AND PLANETARY SCIENCE
2	RUMPUN ILMU ALAM	NATURAL SCIENCES	ASTRONOMI	ASTRONOMY	ASTRONOMI	ASTRONOMY
3	RUMPUN ILMU ALAM	NATURAL SCIENCES	BIOFISIKA	BIOPHYSICS	BIOFISIKA	BIOPHYSICS
4	RUMPUN ILMU ALAM	NATURAL SCIENCES	BIOLOGI	BIOLOGY	BIOLOGI TUMBUHAN	PLANT BIOLOGY
5	RUMPUN ILMU ALAM	NATURAL SCIENCES	BIOLOGI	BIOLOGY	BIOLOGI REPRODUKSI	REPRODUCTIVE BIOLOGY
6	RUMPUN ILMU ALAM	NATURAL SCIENCES	BIOLOGI	BIOLOGY	PRIMATOLOGI	PRIMATOLOGY
7	RUMPUN ILMU ALAM	NATURAL SCIENCES	BIOLOGI	BIOLOGY	MIKROBIOLOGI MEDIS	MEDICAL MICROBIOLOGY
8	RUMPUN ILMU ALAM	NATURAL SCIENCES	BIOLOGI	BIOLOGY	MIKROBIOLOGI	MICROBIOLOGY
9	RUMPUN ILMU ALAM	NATURAL SCIENCES	BIOLOGI	BIOLOGY	ENTOMOLOGI PERMUKIMAN	URBAN ENTOMOLOGY
10	RUMPUN ILMU ALAM	NATURAL SCIENCES	BIOLOGI	BIOLOGY	ENTOMOLOGI	ENTOMOLOGY
11	RUMPUN ILMU ALAM	NATURAL SCIENCES	BIOLOGI	BIOLOGY	BIOLOGI PERKEMBANGAN HEWAN	ANIMAL DEVELOPMENTAL BIOLOGY
12	RUMPUN ILMU ALAM	NATURAL SCIENCES	BIOLOGI	BIOLOGY	BIOLOGI TERAPAN	APPLIED BIOLOGY
13	RUMPUN ILMU ALAM	NATURAL SCIENCES	BIOLOGI	BIOLOGY	BIOLOGI	BIOLOGY
14	RUMPUN ILMU ALAM	NATURAL SCIENCES	FISIKA	PHYSICS	FISIKA	PHYSICS
15	RUMPUN ILMU ALAM	NATURAL SCIENCES	FISIKA	PHYSICS	FISIKA MEDIS	MEDICAL PHYSICS
16	RUMPUN ILMU ALAM	NATURAL SCIENCES	ILMU ATAU SAINS KEBUMIAN	EARTH SCIENCE	OSEANOGRAFI	OCEANOGRAPHY
17	RUMPUN ILMU ALAM	NATURAL SCIENCES	ILMU ATAU SAINS KEBUMIAN	EARTH SCIENCE	HIDROGEOLOGI	HYDROGEOLOGY
18	RUMPUN ILMU ALAM	NATURAL SCIENCES	ILMU ATAU SAINS KEBUMIAN	EARTH SCIENCE	GEOLOGI	GEOLOGY
19	RUMPUN ILMU ALAM	NATURAL SCIENCES	ILMU ATAU SAINS KEBUMIAN	EARTH SCIENCE	METEOROLOGI	METEOROLOGY
20	RUMPUN ILMU ALAM	NATURAL SCIENCES	ILMU ATAU SAINS KEBUMIAN	EARTH SCIENCE	KLIMATOLOGI	CLIMATOLOGY
21	RUMPUN ILMU ALAM	NATURAL SCIENCES	ILMU ATAU SAINS KEBUMIAN	EARTH SCIENCE	ILMU ATAU SAINS KEBUMIAN	EARTH SCIENCE
22	RUMPUN ILMU ALAM	NATURAL SCIENCES	ILMU ATAU SAINS KEBUMIAN	EARTH SCIENCE	HIDROLOGI	HYDROLOGY
23	RUMPUN ILMU ALAM	NATURAL SCIENCES	ILMU ATAU SAINS KEBUMIAN	EARTH SCIENCE	GEOFISIKA	GEOPHYSICS
24	RUMPUN ILMU ALAM	NATURAL SCIENCES	ILMU ATAU SAINS KELAUTAN	MARINE SCIENCE	ILMU ATAU SAINS KELAUTAN	MARINE SCIENCE
25	RUMPUN ILMU ALAM	NATURAL SCIENCES	KIMIA	CHEMISTRY	PENJAMINAN MUTU INDUSTRI PANGAN	FOOD INDUSTRY QUALITY ASSURANCE
26	RUMPUN ILMU ALAM	NATURAL SCIENCES	KIMIA	CHEMISTRY	KIMIA	CHEMISTRY
27	RUMPUN ILMU ALAM	NATURAL SCIENCES	KIMIA	CHEMISTRY	ILMU ATAU SAINS BAHAN/ ILMU ATAU SAINS MATERIAL	MATERIAL SCIENCE
28	RUMPUN ILMU ALAM	NATURAL SCIENCES	KIMIA	CHEMISTRY	PENGOLAHAN LIMBAH INDUSTRI KIMIA	CHEMICAL INDUSTRIAL WASTE MANAGEMENT
29	RUMPUN ILMU ALAM	NATURAL SCIENCES	KIMIA	CHEMISTRY	KIMIA INDUSTRI	INDUSTRIAL CHEMISTRY
30	RUMPUN ILMU ALAM	NATURAL SCIENCES	KIMIA	CHEMISTRY	BIOKIMIA	BIOCHEMISTRY
31	RUMPUN ILMU ALAM	NATURAL SCIENCES	KIMIA	CHEMISTRY	KIMIA TEKSTIL	TEXTILE CHEMISTRY
32	RUMPUN ILMU ALAM	NATURAL SCIENCES	KIMIA	CHEMISTRY	ANALISIS KIMIA	CHEMICAL ANALYSIS
33	RUMPUN ILMU ALAM	NATURAL SCIENCES	KIMIA	CHEMISTRY	KIMIA TERAPAN	APPLIED CHEMISTRY
1	RUMPUN ILMU FORMAL	FORMAL SCIENCES	KOMPUTER	COMPUTER	REKAYASA TEKNOLOGI INFORMASI	INFORMATION TECHNOLOGY ENGINEERING
2	RUMPUN ILMU FORMAL	FORMAL SCIENCES	KOMPUTER	COMPUTER	REKAYASA KEAMANAN SIBER	CYBER SECURITY ENGINEERING
3	RUMPUN ILMU FORMAL	FORMAL SCIENCES	KOMPUTER	COMPUTER	KEAMANAN SISTEM INFORMASI KEIMIGRASIAN	IMMIGRATION INFORMATION SYSTEMS SECURITY
4	RUMPUN ILMU FORMAL	FORMAL SCIENCES	KOMPUTER	COMPUTER	ADMINISTRASI SISTEM INFORMASI TEKNOLOGI	IT - SYSTEM ADMINISTRATION
5	RUMPUN ILMU FORMAL	FORMAL SCIENCES	KOMPUTER	COMPUTER	ADMINISTRASI INFORMASI KOMPUTER	COMPUTER INFORMATION ADMINISTRATION
6	RUMPUN ILMU FORMAL	FORMAL SCIENCES	KOMPUTER	COMPUTER	APLIKASI PERANGKAT LUNAK SITUS	WEB SOFTWARE APPLICATION
7	RUMPUN ILMU FORMAL	FORMAL SCIENCES	KOMPUTER	COMPUTER	DUKUNGAN TEKNIS TEKNOLOGI INFORMASI	INFORMATION TECHNOLOGY TECHNICAL SUPPORT
8	RUMPUN ILMU FORMAL	FORMAL SCIENCES	KOMPUTER	COMPUTER	ILMU KOMPUTER ATAU INFORMATIKA	COMPUTER SCIENCE OR INFORMATICS
9	RUMPUN ILMU FORMAL	FORMAL SCIENCES	KOMPUTER	COMPUTER	KEAMANAN SISTEM INFORMASI	INFORMATION SYSTEMS SECURITY
10	RUMPUN ILMU FORMAL	FORMAL SCIENCES	KOMPUTER	COMPUTER	PENGEMBANGAN APILKASI BERGERAK	MOBILE-APPLICATION DEVELOPMENT
11	RUMPUN ILMU FORMAL	FORMAL SCIENCES	KOMPUTER	COMPUTER	PENGEMBANGAN PERANGKAT LUNAK SITUS	WEB SOFTWARE DEVELOPER
12	RUMPUN ILMU FORMAL	FORMAL SCIENCES	KOMPUTER	COMPUTER	KECERDASAN BUATAN	ARTIFICIAL INTELLIGENCE
13	RUMPUN ILMU FORMAL	FORMAL SCIENCES	KOMPUTER	COMPUTER	REKAYASA SISTEM KOMPUTER	COMPUTER SYSTEM ENGINEERING
14	RUMPUN ILMU FORMAL	FORMAL SCIENCES	KOMPUTER	COMPUTER	LAYANAN INTERNET	INTERNET SERVICES
15	RUMPUN ILMU FORMAL	FORMAL SCIENCES	KOMPUTER	COMPUTER	KECERDASAN BUATAN DAN ROBOTIK	ARTIFICIAL INTELLIGENCE AND ROBOTICS
16	RUMPUN ILMU FORMAL	FORMAL SCIENCES	KOMPUTER	COMPUTER	MANAJEMEN BASIS DATA	DATABASE MANENGEMENT
17	RUMPUN ILMU FORMAL	FORMAL SCIENCES	KOMPUTER	COMPUTER	PENGEMBANGAN APLIKASI MULTIPLATFORM	MULTIPLATFORM APPLICATION DEVELOPMENT
18	RUMPUN ILMU FORMAL	FORMAL SCIENCES	KOMPUTER	COMPUTER	SISTEM DAN TEKNOLOGI INFORMASI	INFORMATION SYSTEM AND TECHNOLOGY
19	RUMPUN ILMU FORMAL	FORMAL SCIENCES	KOMPUTER	COMPUTER	SISTEM INFORMASI	INFORMATION SYSTEM
20	RUMPUN ILMU FORMAL	FORMAL SCIENCES	KOMPUTER	COMPUTER	PERANCANGAN PERMAINAN	GAME DESIGN
21	RUMPUN ILMU FORMAL	FORMAL SCIENCES	KOMPUTER	COMPUTER	SISTEM INFORMASI INDUSTRI OTOMOTIF	AUTOMOTIVE INDUSTRY INFORMATION SYSTEMS
22	RUMPUN ILMU FORMAL	FORMAL SCIENCES	KOMPUTER	COMPUTER	SISTEM INFORMASI KOTA CERDAS	SMART CITY INFORMATION MANAGEMENT
23	RUMPUN ILMU FORMAL	FORMAL SCIENCES	KOMPUTER	COMPUTER	REKAYASA PERANGKAT LUNAK	SOFTWARE ENGINEERING
24	RUMPUN ILMU FORMAL	FORMAL SCIENCES	KOMPUTER	COMPUTER	TEKNIK PENGAMANAN SIBER	CYBER SECURITY TECHNIQUES
25	RUMPUN ILMU FORMAL	FORMAL SCIENCES	KOMPUTER	COMPUTER	TEKNOLOGI INFORMASI	INFORMATION TECHNOLOGY
1	RUMPUN ILMU FORMAL	FORMAL SCIENCES	KOMPUTER	COMPUTER	TEKNOLOGI KOMPUTER GRAFIS	COMPUTER GRAPHICS TECHNOLOGY
2	RUMPUN ILMU FORMAL	FORMAL SCIENCES	KOMPUTER	COMPUTER	TEKNOLOGI PERMAINAN	GAME TECHNOLOGY
3	RUMPUN ILMU FORMAL	FORMAL SCIENCES	KOMPUTER	COMPUTER	TEKNOLOGI REKAYASA KOMPUTER GRAFIS	COMPUTER GRAPHICS ENGINEERING TECHNOLOGY
4	RUMPUN ILMU FORMAL	FORMAL SCIENCES	KOMPUTER	COMPUTER	TEKNOLOGI REKAYASA MULTIMEDIA	MULTIMEDIA ENGINEERING TECHNOLOGY
5	RUMPUN ILMU FORMAL	FORMAL SCIENCES	KOMPUTER	COMPUTER	TEKNOLOGI REKAYASA MULTIMEDIA GRAFIS	MULTIMEDIA GRAPHICS ENGINEERING TECHNOLOGY
6	RUMPUN ILMU FORMAL	FORMAL SCIENCES	KOMPUTER	COMPUTER	TRANSAKSI PEMBAYARAN MEDIS ELEKTRONIK	E-MEDICAL BILLING TRANSACTION
7	RUMPUN ILMU FORMAL	FORMAL SCIENCES	KOMPUTER	COMPUTER	TEKNOLOGI REKAYASA PERANGKAT LUNAK	SOFTWARE ENGINEERING TECHNOLOGY
8	RUMPUN ILMU FORMAL	FORMAL SCIENCES	LOGIKA	LOGIC	LOGIKA	LOGIC
9	RUMPUN ILMU FORMAL	FORMAL SCIENCES	MATEMATIKA	MATHEMATICS	MATEMATIKA TERAPAN	APPLIED MATHEMATICS
10	RUMPUN ILMU FORMAL	FORMAL SCIENCES	MATEMATIKA	MATHEMATICS	ASURANSI KESEHATAN	HEALTH INSURANCE
11	RUMPUN ILMU FORMAL	FORMAL SCIENCES	MATEMATIKA	MATHEMATICS	ASURANSI JIWA	LIFE INSURANCE
12	RUMPUN ILMU FORMAL	FORMAL SCIENCES	MATEMATIKA	MATHEMATICS	ASURANSI KERUGIAN	LIABILITY INSURANCE
13	RUMPUN ILMU FORMAL	FORMAL SCIENCES	MATEMATIKA	MATHEMATICS	STATISTIKA TERAPAN	APPLIED STATISTICS
14	RUMPUN ILMU FORMAL	FORMAL SCIENCES	MATEMATIKA	MATHEMATICS	ILMU ATAU SAINS AKTUARIA	ACTUARIAL SCIENCE
15	RUMPUN ILMU FORMAL	FORMAL SCIENCES	MATEMATIKA	MATHEMATICS	MATEMATIKA	MATHEMATICS
16	RUMPUN ILMU FORMAL	FORMAL SCIENCES	MATEMATIKA	MATHEMATICS	STATISTIKA BISNIS	BUSINESS STATISTICS
17	RUMPUN ILMU FORMAL	FORMAL SCIENCES	MATEMATIKA	MATHEMATICS	STATISTIKA	STATISTICS
1	RUMPUN ILMU HUMANIORA	HUMANITIES	FILSAFAT	PHILOSOPHY	STUDI PERBANDINGAN AGAMA	COMPARATIVE RELIGION
2	RUMPUN ILMU HUMANIORA	HUMANITIES	FILSAFAT	PHILOSOPHY	FILSAFAT KONG HU CU	CONFUCIANISM PHILOSOPHY
3	RUMPUN ILMU HUMANIORA	HUMANITIES	FILSAFAT	PHILOSOPHY	FILSAFAT AGAMA	RELIGION PHILOSOPHY
4	RUMPUN ILMU HUMANIORA	HUMANITIES	FILSAFAT	PHILOSOPHY	FILSAFAT KEILAHIAN	DIVINITY STUDIES
5	RUMPUN ILMU HUMANIORA	HUMANITIES	FILSAFAT	PHILOSOPHY	FILSAFAT	PHILOSOPHY
6	RUMPUN ILMU HUMANIORA	HUMANITIES	FILSAFAT	PHILOSOPHY	FILSAFAT BUDDHIS	BUDDHISM PHILOSOPHY
7	RUMPUN ILMU HUMANIORA	HUMANITIES	FILSAFAT	PHILOSOPHY	FILSAFAT HINDU	HINDUISM PHILOSOPHY
8	RUMPUN ILMU HUMANIORA	HUMANITIES	FILSAFAT	PHILOSOPHY	FILSAFAT ISLAM	ISLAM PHILOSOPHY
9	RUMPUN ILMU HUMANIORA	HUMANITIES	LINGUISTIK	LINGUISTICS	BAHASA JERMAN	GERMAN LANGUAGE
10	RUMPUN ILMU HUMANIORA	HUMANITIES	LINGUISTIK	LINGUISTICS	BAHASA MANDARIN	CHINESE LANGUAGE
11	RUMPUN ILMU HUMANIORA	HUMANITIES	LINGUISTIK	LINGUISTICS	BAHASA KOREA	KOREAN LANGUAGE
12	RUMPUN ILMU HUMANIORA	HUMANITIES	LINGUISTIK	LINGUISTICS	BAHASA JEPANG UNTUK KOMUNIKASI BISNIS DAN PROFESIONAL	JAPAN LANGUAGE FOR BUSINESS AND PROFESSIONAL COMMUNICATION
13	RUMPUN ILMU HUMANIORA	HUMANITIES	LINGUISTIK	LINGUISTICS	BAHASA MAKASSAR	MAKASSAR LANGUAGE
14	RUMPUN ILMU HUMANIORA	HUMANITIES	LINGUISTIK	LINGUISTICS	BAHASA MANDARIN DAN KEBUDAYAAN TIONGKOK	CHINESE LANGUAGE AND CULTURE
15	RUMPUN ILMU HUMANIORA	HUMANITIES	LINGUISTIK	LINGUISTICS	BAHASA MANDARIN UNTUK KOMUNIKASI BISNIS DAN PROFESIONAL	CHINA LANGUAGE FOR BUSINESS AND PROFESSIONAL COMMUNICATION
16	RUMPUN ILMU HUMANIORA	HUMANITIES	LINGUISTIK	LINGUISTICS	KAJIAN BAHASA INGGRIS	ENGLISH LINGUISTIC STUDIES
17	RUMPUN ILMU HUMANIORA	HUMANITIES	LINGUISTIK	LINGUISTICS	BAHASA JEPANG	JAPANESE LANGUAGE
18	RUMPUN ILMU HUMANIORA	HUMANITIES	LINGUISTIK	LINGUISTICS	BAHASA KOREA UNTUK KOMUNIKASI BISNIS DAN PROFESIONAL	KOREA LANGUAGE FOR BUSINESS AND PROFESSIONAL COMMUNICATION
19	RUMPUN ILMU HUMANIORA	HUMANITIES	LINGUISTIK	LINGUISTICS	BAHASA JAWA	JAVANESE LANGUAGE
20	RUMPUN ILMU HUMANIORA	HUMANITIES	LINGUISTIK	LINGUISTICS	LINGUISTIK INDONESIA	INDONESIAN LINGUISTICS
21	RUMPUN ILMU HUMANIORA	HUMANITIES	LINGUISTIK	LINGUISTICS	BAHASA PERANCIS	FRANCE LANGUAGE
22	RUMPUN ILMU HUMANIORA	HUMANITIES	LINGUISTIK	LINGUISTICS	BAHASA PERANCIS UNTUK KOMUNIKASI BISNIS DAN PROFESIONAL	FRENCH LANGUAGE FOR BUSINESS AND PROFESSIONAL COMMUNICATION
23	RUMPUN ILMU HUMANIORA	HUMANITIES	LINGUISTIK	LINGUISTICS	BAHASA RUSIA	RUSSIAN LANGUAGE
24	RUMPUN ILMU HUMANIORA	HUMANITIES	LINGUISTIK	LINGUISTICS	BAHASA INGGRIS	ENGLISH LANGUAGE
25	RUMPUN ILMU HUMANIORA	HUMANITIES	LINGUISTIK	LINGUISTICS	BAHASA DAN KEBUDAYAAN JAWA	JAVANESE LANGUAGE AND CULTURE
26	RUMPUN ILMU HUMANIORA	HUMANITIES	LINGUISTIK	LINGUISTICS	BAHASA DAN KEBUDAYAAN INDONESIA	INDONESIAN LANGUAGE AND CULTURE
27	RUMPUN ILMU HUMANIORA	HUMANITIES	LINGUISTIK	LINGUISTICS	BAHASA INDONESIA	INDONESIA LANGUAGE
28	RUMPUN ILMU HUMANIORA	HUMANITIES	LINGUISTIK	LINGUISTICS	BAHASA DAN KEBUDAYAAN SUNDA	SUNDANESE LANGUAGE AND CULTURE
29	RUMPUN ILMU HUMANIORA	HUMANITIES	LINGUISTIK	LINGUISTICS	BAHASA DAN KEBUDAYAAN BELANDA	DUTCH LANGUAGE AND CULTURE
30	RUMPUN ILMU HUMANIORA	HUMANITIES	LINGUISTIK	LINGUISTICS	BAHASA DAN KEBUDAYAAN KOREA	KOREAN LANGUAGE AND CULTURE
31	RUMPUN ILMU HUMANIORA	HUMANITIES	LINGUISTIK	LINGUISTICS	BAHASA DAN KEBUDAYAAN JEPANG	JAPANESE LANGUAGE AND CULTURE
32	RUMPUN ILMU HUMANIORA	HUMANITIES	LINGUISTIK	LINGUISTICS	BAHASA BUGIS	BUGIS LANGUAGE
33	RUMPUN ILMU HUMANIORA	HUMANITIES	LINGUISTIK	LINGUISTICS	BAHASA DAN KEBUDAYAAN BATAK	BATAK LANGUAGE AND CULTURE
34	RUMPUN ILMU HUMANIORA	HUMANITIES	LINGUISTIK	LINGUISTICS	BAHASA DAN KEBUDAYAAN BALI	BALINESE LANGUAGE AND CULTURE
1	RUMPUN ILMU HUMANIORA	HUMANITIES	LINGUISTIK	LINGUISTICS	BAHASA BALI	BALINESE LANGUAGE
2	RUMPUN ILMU HUMANIORA	HUMANITIES	LINGUISTIK	LINGUISTICS	BAHASA BATAK	BATAK LANGUAGE
3	RUMPUN ILMU HUMANIORA	HUMANITIES	LINGUISTIK	LINGUISTICS	BAHASA BELANDA	DUTCH LANGUAGE
4	RUMPUN ILMU HUMANIORA	HUMANITIES	LINGUISTIK	LINGUISTICS	BAHASA DAN KEBUDAYAAN ARAB	ARABIC LANGUAGE AND CULTURE
5	RUMPUN ILMU HUMANIORA	HUMANITIES	LINGUISTIK	LINGUISTICS	BAHASA ARAB	ARABIC LANGUAGE
6	RUMPUN ILMU HUMANIORA	HUMANITIES	LINGUISTIK	LINGUISTICS	BAHASA ACEH	ACEH LANGUAGE
7	RUMPUN ILMU HUMANIORA	HUMANITIES	LINGUISTIK	LINGUISTICS	BAHASA INGGRIS UNTUK INDUSTRI PARIWISATA	ENGLISH FOR TOURISM INDUSTRY
8	RUMPUN ILMU HUMANIORA	HUMANITIES	LINGUISTIK	LINGUISTICS	BAHASA DAN KEBUDAYAAN JERMAN	GERMAN LANGUAGE AND CULTURE
9	RUMPUN ILMU HUMANIORA	HUMANITIES	LINGUISTIK	LINGUISTICS	BAHASA DAN KEBUDAYAAN INGGRIS	ENGLISH LANGUAGE AND CULTURE
10	RUMPUN ILMU HUMANIORA	HUMANITIES	LINGUISTIK	LINGUISTICS	LINGUISTIK	LINGUISTICS
11	RUMPUN ILMU HUMANIORA	HUMANITIES	LINGUISTIK	LINGUISTICS	BAHASA SUNDA	SUNDANESE LANGUAGE
12	RUMPUN ILMU HUMANIORA	HUMANITIES	LINGUISTIK	LINGUISTICS	LINGUISTIK TERAPAN	APPLIED LINGUISTICS
13	RUMPUN ILMU HUMANIORA	HUMANITIES	LINGUISTIK	LINGUISTICS	LINGUISTIK TERAPAN BAHASA INGGRIS	APPLIED ENGLISH LINGUISTICS
14	RUMPUN ILMU HUMANIORA	HUMANITIES	LINGUISTIK	LINGUISTICS	BAHASA INGGRIS UNTUK PEMULA	ENGLISH FOR BEGINNERS
15	RUMPUN ILMU HUMANIORA	HUMANITIES	LINGUISTIK	LINGUISTICS	BAHASA INGGRIS UNTUK OLAHRAGA GOLF	ENGLISH FOR GOLF
16	RUMPUN ILMU HUMANIORA	HUMANITIES	LINGUISTIK	LINGUISTICS	BAHASA INGGRIS UNTUK KOMUNIKASI BISNIS DAN PROFESIONAL	ENGLISH FOR BUSINESS AND PROFESSIONAL COMMUNICATION
17	RUMPUN ILMU HUMANIORA	HUMANITIES	LINGUISTIK	LINGUISTICS	BAHASA DAN KEBUDAYAAN PERANCIS	FRANCE LANGUAGE AND CULTURE
18	RUMPUN ILMU HUMANIORA	HUMANITIES	LINGUISTIK	LINGUISTICS	BAHASA DAN KEBUDAYAAN RUSIA	RUSSIAN LANGUAGE AND CULTURE
19	RUMPUN ILMU HUMANIORA	HUMANITIES	LINGUISTIK	LINGUISTICS	BAHASA INGGRIS UNTUK KEPARIWISATAAN	ENGLISH FOR TOURISM
20	RUMPUN ILMU HUMANIORA	HUMANITIES	SEJARAH	HISTORY	STUDI PASCA KOLONIAL	POSTCOLONIAL STUDIES
21	RUMPUN ILMU HUMANIORA	HUMANITIES	SEJARAH	HISTORY	KAJIAN SEJARAH	HISTORICAL STUDIES
22	RUMPUN ILMU HUMANIORA	HUMANITIES	SEJARAH	HISTORY	SEJARAH	HISTORY
23	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	PERTUNJUKAN PERKUSI	PERCUSSION PERFORMANCE
24	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	ETNOMUSIKOLOGI	ETHNOMUSICOLOGY
25	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	FILM DAN TELEVISI	FILM AND TELEVISION
26	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	FOTOGRAFI	PHOTOGRAPHY
27	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	KARAWITAN ACEH	ACEH KARAWITAN
28	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	KAJIAN SENI	ARTS STUDIES
29	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	TARI SUNDA	SUNDA DANCE
30	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	KARAWITAN BALI	BALI KARAWITAN
31	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	KARAWITAN JAWA	JAVA KARAWITAN
32	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	DESAIN MODE KRIYA BATIK	BATIK CRAFT FASHION DESIGN
33	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	KARAWITAN MELAYU	MALAY KARAWITAN
34	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	KARAWITAN SUNDA	SUNDA KARAWITAN
35	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	ESTETIKA FILM	FILM AESTHETICS
36	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	KONSERVASI SENI	ARTS CONSERVATION
37	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	MUSIK	MUSIC
38	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	KRIYA KAYU	WOOD CRAFT
39	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	KRIYA	CRAFT
40	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	KRIYA KERAMIK	CERAMICS CRAFT
1	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	KRIYA BATIK	BATIK CRAFT
2	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	KRIYA LOGAM	METAL CRAFT
3	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	KARAWITAN MINANG	MINANG KARAWITAN
4	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	MUSIK NUSANTARA	INDONESIAN TRADITIONAL MUSIC
5	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	PERBAIKAN INSTRUMEN MUSIK	MUSIC INSTRUMENT REPAIR
6	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	KRIYA TENUN	WOVEN CRAFT
7	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	PRODUKSI FILM DAN TELEVISI	FILM AND TELEVISION PRODUCTION
8	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	SEJARAH MUSIK	MUSIC HISTORY
9	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	SEJARAH SENI	ART HISTORY
10	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	PERTUNJUKAN GITAR	GUITAR PERFORMANCE
11	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	SENI	ARTS
12	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	PERTUNJUKAN DISJOKI	DISC JOKEY PERFORMANCE
13	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	PERTUNJUKAN MUSIK JAZ	JAZZ MUSIC PERFORMANCE
14	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	SENI KARAWITAN	KARAWITAN ARTS
15	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	SENI LUKIS	PAINTING
16	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	SENI MURNI	FINE ARTS
17	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	REKAMAN MUSIK	MUSIC RECORDING
18	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	SENI PEDALANGAN	PEDALANGAN ARTS
19	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	TARI	DANCE
20	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	SENI PEDALANGAN SUNDA	SUNDA PEDALANGAN ARTS
21	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	SENJATA TRADISIONAL MANDAU	MANDAU TRADITIONAL WEAPON
22	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	SENI PEDALANGAN JAWA	JAVA PEDALANGAN ARTS
23	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	SENJATA TRADISIONAL KERIS	KERIS TRADITIONAL WEAPON
24	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	SENI PEDALANGAN BALI	BALI PEDALANGAN ARTS
25	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	SENI RUPA	VISUAL ARTS
26	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	SENI PERTUNJUKAN	PERFORMING ARTS
27	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	TARI ACEH	ACEH DANCE
28	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	TARI BALI	BALI DANCE
29	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	SENJATA TRADISIONAL RENCONG	RENCONG TRADITIONAL WEAPON
30	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	TARI MINANG	MINANG DANCE
31	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	TARI JAWA	JAVA DANCE
32	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	TARI MELAYU	MALAY DANCE
33	RUMPUN ILMU HUMANIORA	HUMANITIES	SENI	ARTS	MUSIK FILM	MUSIC SCORING
